R0:	00000000000000000000000000011111
R1:	00000000000000000000000000011111
R2:	00000000000000000000000000011111
R3:	00000000000000000000000000011111
R4:	00000000000000000000000000011111
R5:	00000000000000000000000000011111
R6:	00000000000000000000000000011111
R7:	00000000000000000000000000011111
R8:	00000000000000000000000000011111
R9:	00000000000000000000000000011111
R10:	00000000000000000000000000011111
R11:	00000000000000000000000000011111
R12:	00000000000000000000000000011111
R13:	00000000000000000000000000011111
R14:	00000000000000000000000000011111
R15:	00000000000000000000000000011111
R16:	00000000000000000000000000011111
R17:	00000000000000000000000000011111
R18:	00000000000000000000000000011111
R19:	00000000000000000000000000011111
R20:	00000000000000000000000000011111
R21:	00000000000000000000000000011111
R22:	00000000000000000000000000011111
R23:	00000000000000000000000000011111
R24:	00000000000000000000000000011111
R25:	00000000000000000000000000011111
R26:	00000000000000000000000000011111
R27:	00000000000000000000000000011111
R28:	00000000000000000000000000011111
R29:	00000000000000000000000000011111
R30:	00000000000000000000000000011111
R31:	00000000000000000000000000011111
